absolute_course_url,course_name,subject_name
https://www.class-central.com/mooc/8600/coursera-introducao-a-ciencia-da-computacao-com-python-parte-2,Introdução à Ciência da Computação com Python Parte 2,Programming 
https://www.class-central.com/mooc/4282/coursera-c,C程序设计进阶,Programming 
https://www.class-central.com/mooc/2763/coursera-c-,C++程序设计,Programming 
https://www.class-central.com/mooc/3196/coursera-an-introduction-to-interactive-programming-in-python-part-2,An Introduction to Interactive Programming in Python (Part 2),Programming 
https://www.class-central.com/mooc/4668/coursera-accediendo-a-la-nube-con-ios,Accediendo a la nube con iOS,Programming 
https://www.class-central.com/mooc/4613/coursera-interactuando-con-el-hardware-del-dispositivo-ios,Interactuando con el hardware del dispositivo iOS,Programming 
https://www.class-central.com/mooc/6931/coursera-c-for-c-programmers-part-b,"C++ For C Programmers, Part B",Programming 
https://www.class-central.com/mooc/2067/coursera-interactive-computer-graphics,Interactive Computer Graphics,Programming 
https://www.class-central.com/mooc/6420/coursera-introduction-to-neurohacking-in-r,Introduction to Neurohacking In R,Programming 
https://www.class-central.com/mooc/6658/edx-video-game-design-teamwork-collaboration,Video Game Design: Teamwork & Collaboration,Programming 
https://www.class-central.com/mooc/1983/edx-introduction-to-java-programming-part-1,Introduction to Java Programming – Part 1,Programming 
https://www.class-central.com/mooc/3486/edx-introduction-to-java-programming-part-2,Introduction to Java Programming – Part 2,Programming 
https://www.class-central.com/mooc/3758/edx-introduction-to-mobile-application-development-using-android,Introduction to Mobile Application Development using Android,Programming 
https://www.class-central.com/mooc/324/udacity-web-development,Web Development,Programming 
https://www.class-central.com/mooc/325/udacity-programming-languages,Programming Languages,Programming 
https://www.class-central.com/mooc/365/udacity-software-testing,Software Testing,Programming 
https://www.class-central.com/mooc/457/udacity-software-debugging,Software Debugging,Programming 
https://www.class-central.com/mooc/553/openlearning-unsw-computing-1-the-art-of-programming,UNSW Computing 1 - The Art of Programming,Programming 
https://www.class-central.com/mooc/549/udacity-intro-to-parallel-programming,Intro to Parallel Programming,Programming 
https://www.class-central.com/mooc/551/udacity-html5-game-development,HTML5 Game Development,Programming 
https://www.class-central.com/mooc/552/udacity-interactive-3d-graphics,Interactive 3D Graphics,Programming 
https://www.class-central.com/mooc/550/udacity-functional-hardware-verification,Functional Hardware Verification,Programming 
https://www.class-central.com/mooc/615/openhpi-semantic-web-technologies,Semantic Web Technologies,Programming 
